id;id_externo;nombre;descripcion;precio;precio_gratis;dispositivo_id
1;31408;whether gee;subtitle oddly since;25896.92;31570.38;1
2;7710;profitable weakly;quaff ick;13990.32;13243.74;2
3;32020;mother upside-down;pixelate wasteful;15477.01;16753.06;3
4;27084;unnecessarily;anenst merrily;27044.5;13328.65;4
5;4224;golf;dot where port;4585.43;12512.37;5
6;493;psst yippee;psst kindly aw;2215.43;9922.92;6
7;6647;ew sesame old-fashioned;since ack clearly;9587.28;12967.22;7
8;22279;anguished worth yahoo;present gee bidder;5750.09;30468.32;8
9;1753;yippee when;opposite anxiously astride;10704.03;23176.81;9
10;22112;hm;peasant forestall midst;23058.76;9775.1;10
