id;id_externo;codigo;nombre;descripcion;precio_base;moneda
1;4614;practical;oof pish;canal;23132.08;ARS
2;18935;joint till out;after adrenaline bah;once than;32548.45;USD
3;4348;bah;pastel rivet unfortunately;taste;16198.35;USD
4;268;unless yum dome;depot overbalance;chemistry;28398.86;ARS
5;25333;radicalize;hm psst;gosh duel;2068.15;ARS
6;24655;um trustworthy boo;however;until trustworthy mess;27810.49;ARS
7;1512;fulminate intent;inside;cultivated;3873.9;ARS
8;25375;among underneath whereas;lecture for plight;aggravating whether cwtch;14397.7;USD
9;1304;yippee;woefully throughout;ick reasoning duh;11154.18;ARS
10;3770;mmm hmph;surprisingly entire verbally;whether;28950.55;USD
