id;id_externo;codigo;nombre;descripcion;precio_adicional;personalizacion_id
1;30952;psst huzzah;excepting meh;mid;6002.43;1
2;25552;humble obnoxiously;popcorn juggernaut;trader;1344.37;2
3;6212;ah;aw without eek;topsail instantly;17930.57;3
4;4625;sanitise circa remunerate;psychoanalyse ah;optimal vamoose upon;32582.62;4
5;27584;before blast gust;onto unsightly excitedly;even;30672.55;5
6;16526;thunderous abaft;sniveling thought equally;quartz toboggan;5095.18;6
7;4874;especially twirl official;deeply forenenst proponent;blister;6673.62;7
8;8578;limply regarding;breathalyse gadzooks towards;yahoo shaft;16528.62;8
9;16996;meanwhile teapot wont;sans;sneaky;18534.64;9
10;27299;yum bountiful;whereas;across instead;14918.61;10
